index,Trivago,Spotify,Microsoft
175,0.668548,0.558181,0.128186
176,0.669059,0.561079,0.129155
177,0.669168,0.563377,0.129972
178,0.669266,0.565508,0.130731
179,0.669387,0.567548,0.131093
180,0.669424,0.569685,0.131355
181,0.669752,0.571567,0.131911
182,0.670056,0.573488,0.132575
183,0.670482,0.575707,0.133384
184,0.671334,0.578518,0.134422
185,0.673876,0.582318,0.135832
186,0.676078,0.586654,0.137655
187,0.679496,0.591223,0.139803
188,0.684106,0.59585,0.142284
189,0.689422,0.600959,0.145124
190,0.694616,0.606395,0.148357
191,0.700735,0.612424,0.152694
192,0.707084,0.618376,0.157294
193,0.71285,0.623956,0.161094
194,0.716378,0.628715,0.1646
195,0.71993,0.633205,0.167754
196,0.723822,0.637401,0.170613
197,0.726474,0.641384,0.17317
198,0.72825,0.644722,0.175202
199,0.729187,0.647444,0.176712
200,0.729734,0.64945,0.177854
201,0.729953,0.651056,0.178811
202,0.730063,0.652529,0.179696
203,0.730172,0.654003,0.18012
204,0.73033,0.655476,0.180408
205,0.730367,0.656799,0.181025
206,0.730403,0.658095,0.18179
207,0.730562,0.659653,0.182718
208,0.731133,0.661625,0.183881
209,0.732216,0.664144,0.185432
210,0.733955,0.667025,0.187448
211,0.736546,0.670104,0.189795
212,0.739064,0.673068,0.192463
213,0.742251,0.676265,0.195474
214,0.746679,0.67989,0.198851
215,0.750158,0.683837,0.203304
216,0.753929,0.687741,0.208086
217,0.757359,0.691198,0.212135
218,0.760011,0.694209,0.215817
219,0.762286,0.697134,0.219106
220,0.764354,0.699868,0.22208
221,0.766118,0.702488,0.224747
222,0.767444,0.704676,0.226845
223,0.768186,0.706422,0.228401
224,0.768636,0.707759,0.229569
225,0.768745,0.708772,0.230524
226,0.768867,0.709745,0.231378
227,0.768952,0.710752,0.231801
228,0.769025,0.711797,0.232065
229,0.769098,0.712706,0.232639
230,0.769195,0.713635,0.233388
231,0.769511,0.714694,0.234298
232,0.770266,0.716066,0.235411
233,0.771519,0.717871,0.236841
234,0.773246,0.720022,0.238663
235,0.774949,0.722255,0.240815
236,0.77743,0.724583,0.243266
237,0.779571,0.727038,0.246002
238,0.782296,0.729781,0.249081
239,0.785045,0.732688,0.25304
240,0.78839,0.735581,0.257373
241,0.791602,0.738163,0.261192
242,0.79401,0.740534,0.26463
243,0.796395,0.742588,0.267672
244,0.798195,0.744575,0.270382
245,0.799679,0.7465,0.272748
246,0.800628,0.74814,0.274591
247,0.801491,0.749368,0.27592
248,0.801601,0.750311,0.276906
249,0.80171,0.751057,0.277696
250,0.801771,0.751702,0.278365
251,0.801783,0.752343,0.278713
252,0.801905,0.753042,0.278908
253,0.802039,0.753673,0.27935
254,0.802343,0.754364,0.28
255,0.802635,0.755164,0.280813
256,0.803243,0.756187,0.281815
257,0.804581,0.757542,0.283093
258,0.80587,0.759045,0.284693
259,0.807853,0.760661,0.28654
260,0.809544,0.762347,0.288593
261,0.811855,0.764237,0.290901
262,0.814191,0.766234,0.293477
263,0.817195,0.768435,0.296602
264,0.819799,0.770667,0.299935
265,0.822402,0.772686,0.302951
266,0.824336,0.774563,0.30568
267,0.826014,0.776346,0.308131
268,0.827158,0.777955,0.310352
269,0.828289,0.779485,0.312313
270,0.828764,0.780796,0.31385
271,0.828995,0.781784,0.314984
272,0.829043,0.782512,0.31588
273,0.82908,0.783169,0.316606
274,0.829116,0.783807,0.317189
275,0.82925,0.784475,0.317471
276,0.829287,0.785155,0.317674
277,0.829335,0.785796,0.318115
278,0.829408,0.786431,0.318696
279,0.829725,0.787158,0.319431
280,0.830138,0.7882,0.320393
281,0.830892,0.789548,0.321714
282,0.831829,0.791062,0.323391
283,0.833143,0.792715,0.325322
284,0.835016,0.794344,0.327522
285,0.836658,0.796123,0.33002
286,0.838872,0.798091,0.332828
287,0.841354,0.800149,0.336249
288,0.843373,0.802156,0.339692
289,0.845635,0.804032,0.342529
290,0.847278,0.805728,0.345134
291,0.848543,0.807227,0.34753
292,0.849638,0.808646,0.349749
293,0.850744,0.810013,0.351747
294,0.851353,0.811122,0.353354
295,0.851645,0.812023,0.354606
296,0.851669,0.812692,0.355641
297,0.851669,0.813317,0.356513
298,0.851669,0.813939,0.357261
299,0.851718,0.814635,0.35762
300,0.851742,0.815433,0.357929
301,0.851961,0.816171,0.358569
302,0.852119,0.816992,0.359338
303,0.852423,0.817923,0.360296
304,0.853056,0.819227,0.361589
305,0.854175,0.821005,0.363452
306,0.85572,0.823001,0.365876
307,0.857751,0.825041,0.368716
308,0.860026,0.827091,0.371982
309,0.862288,0.829237,0.375776
310,0.865244,0.831655,0.380067
311,0.868614,0.834288,0.385375
312,0.871764,0.836853,0.390583
313,0.873978,0.839173,0.394668
314,0.876253,0.841218,0.398431
315,0.877725,0.843055,0.401858
316,0.879343,0.844755,0.404996
317,0.880498,0.846428,0.407788
318,0.881252,0.847849,0.410038
319,0.881593,0.848901,0.411793
320,0.881654,0.84975,0.413223
321,0.881654,0.850435,0.414432
322,0.881654,0.851127,0.415494
323,0.881666,0.851901,0.416012
324,0.881703,0.85274,0.416483
325,0.881812,0.853566,0.417437
326,0.882031,0.85449,0.41855
327,0.882274,0.855582,0.419915
328,0.88298,0.857096,0.421713
329,0.884525,0.858985,0.424242
330,0.885838,0.861032,0.427548
331,0.888235,0.863194,0.43145
332,0.890728,0.865431,0.435938
333,0.892991,0.867844,0.441118
334,0.895509,0.870455,0.446983
335,0.898587,0.873177,0.454419
336,0.901348,0.875814,0.461894
337,0.904,0.878148,0.467809
338,0.906299,0.880256,0.473111
339,0.908026,0.882069,0.477809
340,0.909352,0.883854,0.482
341,0.910507,0.88547,0.485637
342,0.911201,0.886781,0.488455
343,0.91131,0.887801,0.490558
344,0.911481,0.888551,0.492214
345,0.911541,0.889204,0.49359
346,0.911566,0.889831,0.494829
347,0.911614,0.890475,0.49543
348,0.911687,0.891158,0.495954
349,0.911797,0.891757,0.49705
350,0.912052,0.892397,0.498389
351,0.912247,0.893218,0.50001
352,0.912721,0.894275,0.502046
353,0.913804,0.895703,0.504809
354,0.915118,0.897208,0.508334
355,0.916444,0.898754,0.512431
356,0.918037,0.900325,0.517007
357,0.919996,0.901978,0.522134
358,0.922003,0.903845,0.527884
359,0.924411,0.905823,0.535261
360,0.926759,0.907751,0.542821
361,0.928401,0.909487,0.54892
362,0.929715,0.910945,0.554387
363,0.930846,0.912279,0.559158
364,0.93205,0.913523,0.563402
365,0.932926,0.914624,0.567093
366,0.933839,0.915609,0.56992
367,0.934045,0.916349,0.571944
368,0.934179,0.916892,0.573507
369,0.934191,0.91737,0.5748
370,0.934264,0.917819,0.575982
371,0.934313,0.918291,0.576532
372,0.934313,0.918762,0.57701
373,0.934374,0.919206,0.578019
374,0.934422,0.919624,0.579244
375,0.93452,0.920177,0.58073
376,0.935018,0.920949,0.582564
377,0.935408,0.921887,0.585006
378,0.935992,0.922946,0.588132
379,0.936819,0.92393,0.591746
380,0.937768,0.925011,0.595758
381,0.939069,0.926131,0.600217
382,0.940286,0.927353,0.605142
383,0.942037,0.928634,0.611405
384,0.943448,0.929877,0.617918
385,0.945066,0.930922,0.623283
386,0.945808,0.931832,0.628081
387,0.946866,0.93267,0.63224
388,0.947754,0.933444,0.635953
389,0.948375,0.934171,0.639202
390,0.948606,0.934726,0.641666
391,0.948667,0.935173,0.643418
392,0.948825,0.935476,0.644753
393,0.948874,0.935741,0.645838
394,0.94891,0.936014,0.646781
395,0.94891,0.936322,0.647231
396,0.948922,0.936631,0.647599
397,0.949032,0.93694,0.648412
398,0.949178,0.937236,0.649456
399,0.949226,0.937587,0.650727
400,0.949384,0.938104,0.652255
401,0.949822,0.938773,0.654287
402,0.950479,0.939486,0.656891
403,0.951246,0.940176,0.659927
404,0.952158,0.940842,0.663303
405,0.953228,0.941645,0.667086
406,0.954335,0.942497,0.671277
407,0.955527,0.94337,0.676465
408,0.956732,0.94426,0.681849
409,0.957389,0.944986,0.686364
410,0.958301,0.945677,0.690389
411,0.958836,0.946321,0.693867
412,0.959359,0.946941,0.696941
413,0.959542,0.947499,0.699605
414,0.959712,0.94794,0.701619
415,0.959773,0.948291,0.703049
416,0.959846,0.948544,0.704115
417,0.959846,0.948753,0.704975
418,0.959919,0.948966,0.705703
419,0.959919,0.949157,0.706053
420,0.959919,0.949352,0.70635
421,0.959955,0.949526,0.706987
422,0.959967,0.949714,0.707816
423,0.960004,0.950002,0.70883
424,0.96015,0.950353,0.710081
425,0.960636,0.950768,0.711698
426,0.961184,0.951225,0.713772
427,0.96195,0.95167,0.71619
428,0.96268,0.952172,0.718887
429,0.963605,0.952724,0.721895
430,0.964444,0.953325,0.725202
431,0.965393,0.954004,0.729283
432,0.966147,0.954661,0.733522
433,0.966816,0.955219,0.737141
434,0.967497,0.955755,0.740317
435,0.967862,0.956276,0.743093
436,0.968117,0.956765,0.745513
437,0.968361,0.957227,0.747599
438,0.968531,0.957583,0.749176
439,0.968604,0.957886,0.75029
440,0.968604,0.958073,0.751127
441,0.968628,0.958236,0.751811
442,0.968628,0.958399,0.752375
443,0.968628,0.958598,0.752637
444,0.968628,0.958771,0.752874
445,0.968628,0.958897,0.753389
446,0.968628,0.959044,0.754084
447,0.968689,0.959205,0.754956
448,0.968847,0.959459,0.756058
449,0.969443,0.959798,0.757549
450,0.969735,0.96021,0.75944
451,0.970149,0.960628,0.761573
452,0.970696,0.961049,0.763925
453,0.971682,0.961505,0.766542
454,0.972533,0.962078,0.769414
455,0.97347,0.962674,0.772806
456,0.973956,0.963294,0.776175
457,0.974674,0.963823,0.779005
458,0.974905,0.964294,0.781539
459,0.975392,0.964737,0.783825
460,0.97555,0.965154,0.785875
461,0.975623,0.965586,0.787684
462,0.975781,0.965947,0.789069
463,0.975805,0.966205,0.790101
464,0.975805,0.966384,0.790911
465,0.975805,0.966532,0.791576
466,0.975805,0.966682,0.792094
467,0.975805,0.966878,0.792334
468,0.975805,0.967069,0.792611
469,0.975805,0.967223,0.793192
470,0.97583,0.96741,0.793904
471,0.975866,0.96763,0.794768
472,0.97617,0.967928,0.795924
473,0.976632,0.968359,0.797592
474,0.976839,0.968844,0.799761
475,0.977362,0.969307,0.802285
476,0.977922,0.96983,0.805126
477,0.978421,0.970391,0.808374
478,0.979199,0.971057,0.811955
479,0.980099,0.971816,0.816208
480,0.98061,0.972545,0.820306
481,0.981279,0.973107,0.82357
482,0.981814,0.973603,0.826458
483,0.982106,0.974094,0.829037
484,0.982374,0.974556,0.831336
485,0.982532,0.975054,0.833326
486,0.982581,0.975457,0.834859
487,0.982617,0.975747,0.836001
488,0.982654,0.97592,0.836919
489,0.982654,0.976097,0.837672
490,0.982654,0.976279,0.838276
491,0.982678,0.9765,0.838554
492,0.98269,0.976702,0.838899
493,0.982727,0.976894,0.839608
494,0.982788,0.977072,0.840432
495,0.982921,0.97731,0.841428
496,0.98314,0.977676,0.842719
497,0.983335,0.978134,0.844503
498,0.984004,0.978678,0.846834
499,0.9846,0.979197,0.849573
500,0.985342,0.979728,0.852674
501,0.985987,0.980305,0.856184
502,0.986972,0.980951,0.860091
503,0.987398,0.981636,0.864913
504,0.987884,0.982339,0.869677
505,0.988383,0.982908,0.873428
506,0.988906,0.98344,0.876718
507,0.989064,0.983948,0.879604
508,0.989235,0.984432,0.882095
509,0.989344,0.984925,0.884194
510,0.989454,0.985289,0.885778
511,0.989514,0.985569,0.886912
512,0.989514,0.985773,0.887772
513,0.989514,0.985912,0.888499
514,0.989514,0.986072,0.889116
515,0.989527,0.986255,0.889404
516,0.989539,0.986413,0.889721
517,0.989551,0.986526,0.89039
518,0.989551,0.986658,0.89121
519,0.989673,0.986826,0.892188
520,0.989867,0.987105,0.893407
521,0.990196,0.987419,0.895017
522,0.990597,0.987752,0.897045
523,0.990743,0.988117,0.899399
524,0.991254,0.988463,0.901989
525,0.991801,0.988831,0.904851
526,0.992385,0.989282,0.908023
527,0.992726,0.9898,0.911949
528,0.993152,0.990306,0.915941
529,0.993456,0.990666,0.919204
530,0.993808,0.991017,0.922073
531,0.993894,0.991345,0.924546
532,0.993954,0.991664,0.926704
533,0.99404,0.991976,0.928548
534,0.994088,0.992241,0.929925
535,0.9941,0.992405,0.930878
536,0.9941,0.992523,0.931583
537,0.9941,0.992614,0.932182
538,0.9941,0.992709,0.932684
539,0.9941,0.992823,0.932908
540,0.9941,0.992933,0.933155
541,0.9941,0.993019,0.933674
542,0.994137,0.993107,0.934311
543,0.994271,0.993223,0.935075
544,0.994368,0.993408,0.935996
545,0.99449,0.993631,0.937192
546,0.994636,0.993857,0.938695
547,0.994818,0.994059,0.940441
548,0.995183,0.994257,0.94237
549,0.99567,0.994503,0.944478
